phylum_group,domain,n_genomes_total,pgh_architecture,n_genomes,percentage
Campylobacterota,Bacteria,412,LysM+NLPC_P60,52,12.621
Campylobacterota,Bacteria,412,PG_binding_3+Glyco_hydro_108,30,7.282
Campylobacterota,Bacteria,412,PG_binding_1+Amidase_2,3,0.728
Campylobacterota,Bacteria,412,LysM+Peptidase_M15,2,0.485
Campylobacterota,Bacteria,412,PG_binding_1+Peptidase_M15,1,0.243
Chlamydiota,Bacteria,248,SH3_16+NLPC_P60,23,9.274
Chlamydiota,Bacteria,248,SH3_4+NLPC_P60,15,6.048
Chlamydiota,Bacteria,248,SH3_3+NLPC_P60,12,4.839
Chlamydiota,Bacteria,248,PG_binding_3+Glyco_hydro_108,3,1.21
Chlamydiota,Bacteria,248,PG_binding_1+Amidase_2,2,0.806
Chloroflexota,Bacteria,1757,LysM+Peptidase_M23,1092,62.151
Chloroflexota,Bacteria,1757,SH3_3+NLPC_P60,101,5.748
Chloroflexota,Bacteria,1757,LysM+SLT,94,5.35
Chloroflexota,Bacteria,1757,SH3_16+NLPC_P60,81,4.61
Chloroflexota,Bacteria,1757,SH3_3+Glyco_hydro_25,55,3.13
Chloroflexota,Bacteria,1757,LysM+NLPC_P60,46,2.618
Chloroflexota,Bacteria,1757,LysM+Amidase_2,37,2.106
Chloroflexota,Bacteria,1757,SH3_4+NLPC_P60,34,1.935
Chloroflexota,Bacteria,1757,PG_binding_1+Amidase_2,28,1.594
Chloroflexota,Bacteria,1757,SH3_3+Amidase_2,26,1.48
Chloroflexota,Bacteria,1757,SH3_6+NLPC_P60,17,0.968
Chloroflexota,Bacteria,1757,LysM+Amidase_3,14,0.797
Chloroflexota,Bacteria,1757,PG_binding_3+Glyco_hydro_108,8,0.455
Chloroflexota,Bacteria,1757,SH3_3+Amidase_3,8,0.455
Chloroflexota,Bacteria,1757,PG_binding_1+Glucosaminidase,6,0.341
Chloroflexota,Bacteria,1757,PG_binding_1+Peptidase_M15,6,0.341
Chloroflexota,Bacteria,1757,AMIN+Amidase_3,2,0.114
Chloroflexota,Bacteria,1757,PG_binding_1+Peptidase_M23,2,0.114
Chloroflexota,Bacteria,1757,LysM+Peptidase_M15,1,0.057
Chloroflexota,Bacteria,1757,SPOR+Amidase_2,1,0.057
Cloacimonadota,Bacteria,90,LysM+Peptidase_M23,78,86.667
Cloacimonadota,Bacteria,90,LysM+SLT,41,45.556
Cloacimonadota,Bacteria,90,SH3_6+NLPC_P60,20,22.222
Cloacimonadota,Bacteria,90,PG_binding_3+Glyco_hydro_108,1,1.111
Cloacimonadota,Bacteria,90,SPOR+Amidase_2,1,1.111
Cyanobacteriota,Bacteria,1157,AMIN+Amidase_3,968,83.665
Cyanobacteriota,Bacteria,1157,SH3_16+NLPC_P60,676,58.427
Cyanobacteriota,Bacteria,1157,LysM+Peptidase_M23,662,57.217
Cyanobacteriota,Bacteria,1157,PG_binding_1+Glyco_hydro_25,85,7.347
Cyanobacteriota,Bacteria,1157,PG_binding_1+VanY,74,6.396
Cyanobacteriota,Bacteria,1157,LysM+Amidase_3,67,5.791
Cyanobacteriota,Bacteria,1157,PG_binding_3+Glyco_hydro_108,53,4.581
Cyanobacteriota,Bacteria,1157,PG_binding_1+Amidase_2,38,3.284
Cyanobacteriota,Bacteria,1157,PG_binding_1+Peptidase_M15,14,1.21
Cyanobacteriota,Bacteria,1157,LysM+SLT,13,1.124
Cyanobacteriota,Bacteria,1157,SH3_3+Amidase_3,11,0.951
Cyanobacteriota,Bacteria,1157,SH3_3+NLPC_P60,10,0.864
Cyanobacteriota,Bacteria,1157,SH3_3+Amidase_2,7,0.605
Cyanobacteriota,Bacteria,1157,LysM+Amidase_2,5,0.432
Cyanobacteriota,Bacteria,1157,PG_binding_1+Peptidase_M23,5,0.432
Cyanobacteriota,Bacteria,1157,SH3_4+NLPC_P60,5,0.432
Cyanobacteriota,Bacteria,1157,PG_binding_1+Glucosaminidase,4,0.346
Cyanobacteriota,Bacteria,1157,LysM+Amidase_6,3,0.259
Cyanobacteriota,Bacteria,1157,LysM+NLPC_P60,2,0.173
Cyanobacteriota,Bacteria,1157,PG_binding_3+Glyco_hydro_108+Peptidase_M23,1,0.086
Cyanobacteriota,Bacteria,1157,SPOR+Amidase_2,1,0.086
Deinococcota,Bacteria,90,LysM+Peptidase_M23,88,97.778
Deinococcota,Bacteria,90,LysM+NLPC_P60,53,58.889
Deinococcota,Bacteria,90,SH3_3+NLPC_P60,8,8.889
Deinococcota,Bacteria,90,SH3_16+NLPC_P60,7,7.778
Deinococcota,Bacteria,90,PG_binding_1+Amidase_2,5,5.556
Deinococcota,Bacteria,90,SH3_6+NLPC_P60,4,4.444
Deinococcota,Bacteria,90,AMIN+Amidase_3,3,3.333
Deinococcota,Bacteria,90,LysM+Amidase_3,1,1.111
Dependentiae,Bacteria,95,PG_binding_1+Amidase_2,2,2.105
Dependentiae,Bacteria,95,PG_binding_3+Glyco_hydro_108,2,2.105
Desulfobacterota,Bacteria,1618,LysM+SLT,1425,88.072
Desulfobacterota,Bacteria,1618,AMIN+Amidase_3,1083,66.934
Desulfobacterota,Bacteria,1618,LysM+Peptidase_M23,419,25.896
Desulfobacterota,Bacteria,1618,LysM+NLPC_P60,289,17.862
Desulfobacterota,Bacteria,1618,SH3_6+NLPC_P60,173,10.692
Desulfobacterota,Bacteria,1618,PG_binding_3+Glyco_hydro_108,125,7.726
Desulfobacterota,Bacteria,1618,LysM+Amidase_3,70,4.326
Desulfobacterota,Bacteria,1618,LysM+Amidase_2,33,2.04
Desulfobacterota,Bacteria,1618,SH3_3+Amidase_2,13,0.803
Desulfobacterota,Bacteria,1618,SPOR+SLT,11,0.68
Desulfobacterota,Bacteria,1618,PG_binding_1+Peptidase_M15,10,0.618
Desulfobacterota,Bacteria,1618,LysM+Peptidase_M15,8,0.494
Desulfobacterota,Bacteria,1618,PG_binding_1+Amidase_2,6,0.371
Desulfobacterota,Bacteria,1618,SH3_16+NLPC_P60,5,0.309
Desulfobacterota,Bacteria,1618,PG_binding_1+VanY,4,0.247
Desulfobacterota,Bacteria,1618,PG_binding_1+Peptidase_M23,1,0.062
Desulfobacterota,Bacteria,1618,SH3_3+NLPC_P60,1,0.062
Dormibacterota,Bacteria,97,LysM+SLT,35,36.082
Dormibacterota,Bacteria,97,LysM+Peptidase_M23,26,26.804
Elusimicrobiota,Bacteria,189,LysM+Peptidase_M23,64,33.862
Elusimicrobiota,Bacteria,189,LysM+SLT,55,29.101
Elusimicrobiota,Bacteria,189,SH3_6+NLPC_P60,20,10.582
Elusimicrobiota,Bacteria,189,SH3_16+NLPC_P60,3,1.587
Elusimicrobiota,Bacteria,189,PG_binding_1+Peptidase_M23,1,0.529
Elusimicrobiota,Bacteria,189,PG_binding_3+Glyco_hydro_108,1,0.529
Eremiobacterota,Bacteria,113,AMIN+Amidase_3,90,79.646
Eremiobacterota,Bacteria,113,LysM+NLPC_P60,39,34.513
Eremiobacterota,Bacteria,113,SH3_3+NLPC_P60,7,6.195
Eremiobacterota,Bacteria,113,SH3_16+NLPC_P60,4,3.54
Eremiobacterota,Bacteria,113,LysM+Peptidase_M23,1,0.885
Eremiobacterota,Bacteria,113,PG_binding_1+Glucosaminidase,1,0.885
Eremiobacterota,Bacteria,113,PG_binding_1+Glyco_hydro_25,1,0.885
Eremiobacterota,Bacteria,113,PG_binding_1+Peptidase_M15,1,0.885
Eremiobacterota,Bacteria,113,SH3_6+NLPC_P60,1,0.885
Fibrobacterota,Bacteria,87,LysM+SLT,86,98.851
Fibrobacterota,Bacteria,87,LysM+Peptidase_M23,44,50.575
Fibrobacterota,Bacteria,87,PG_binding_3+Glyco_hydro_108,4,4.598
Fibrobacterota,Bacteria,87,PG_binding_1+Glucosaminidase,1,1.149
Fibrobacterota,Bacteria,87,SH3_16+NLPC_P60,1,1.149
Fibrobacterota,Bacteria,87,SH3_3+Amidase_2,1,1.149
Fibrobacterota,Bacteria,87,SH3_3+NLPC_P60,1,1.149
Fusobacteriota,Bacteria,90,LysM+Peptidase_M23,59,65.556
Fusobacteriota,Bacteria,90,PG_binding_1+Amidase_2,46,51.111
Fusobacteriota,Bacteria,90,PG_binding_3+Glyco_hydro_108,16,17.778
Fusobacteriota,Bacteria,90,LysM+Amidase_2,1,1.111
Fusobacteriota,Bacteria,90,LysM+Amidase_3,1,1.111
Fusobacteriota,Bacteria,90,SH3_3+Amidase_2,1,1.111
Fusobacteriota,Bacteria,90,SH3_4+NLPC_P60,1,1.111
Fusobacteriota,Bacteria,90,SH3_6+NLPC_P60,1,1.111
Gemmatimonadota,Bacteria,314,LysM+SLT,245,78.025
Gemmatimonadota,Bacteria,314,SH3_3+NLPC_P60,55,17.516
Gemmatimonadota,Bacteria,314,SH3_16+NLPC_P60,33,10.51
Gemmatimonadota,Bacteria,314,SH3_4+NLPC_P60,19,6.051
Gemmatimonadota,Bacteria,314,SH3_3+Amidase_2,7,2.229
Gemmatimonadota,Bacteria,314,PG_binding_3+Glyco_hydro_108,3,0.955
Gemmatimonadota,Bacteria,314,LysM+Peptidase_M23,2,0.637
Gemmatimonadota,Bacteria,314,PG_binding_1+Amidase_2,1,0.318
Gemmatimonadota,Bacteria,314,PG_binding_1+Peptidase_M15,1,0.318
Gemmatimonadota,Bacteria,314,PG_binding_1+Peptidase_M23,1,0.318
Gemmatimonadota,Bacteria,314,PG_binding_1+VanY,1,0.318
Hadarchaeota,Archaea,12,,0,0.0
Halobacteriota,Archaea,739,SH3_3+NLPC_P60,31,4.195
Halobacteriota,Archaea,739,PG_binding_1+Amidase_2,7,0.947
Halobacteriota,Archaea,739,PG_binding_1+Glucosaminidase,6,0.812
Halobacteriota,Archaea,739,PG_binding_1+Peptidase_M23,5,0.677
Halobacteriota,Archaea,739,SH3_3+Amidase_2,4,0.541
Halobacteriota,Archaea,739,PG_binding_3+Glyco_hydro_108,3,0.406
Halobacteriota,Archaea,739,SH3_4+NLPC_P60,3,0.406
Hydrothermarchaeota,Archaea,16,,0,0.0
Iainarchaeota,Archaea,68,,0,0.0
Marinisomatota,Bacteria,208,LysM+SLT,179,86.058
Marinisomatota,Bacteria,208,SH3_3+NLPC_P60,69,33.173
Marinisomatota,Bacteria,208,SH3_16+NLPC_P60,49,23.558
Marinisomatota,Bacteria,208,SH3_4+NLPC_P60,22,10.577
Marinisomatota,Bacteria,208,PG_binding_3+Glyco_hydro_108,6,2.885
Marinisomatota,Bacteria,208,PG_binding_1+Amidase_2,3,1.442
